code,fish,Tonnage2015,Tonnage2016,Tonnage2017,Tonnage2018,Tonnage2019,Value2015,Value2016,Value2017,Value2018,Value2019
Oban,Razor fish,0.00,0.00,0.00,3.02,64.29,0.00,0.00,0.00,17.65,468.36
Oban,Scallops,1157.93,1060.41,759.18,774.10,863.16,2495.64,2649.91,2010.87,2600.47,2198.48
Oban,Velvet crabs,157.94,199.75,146.49,92.51,115.82,409.80,547.20,477.36,368.76,349.33
Oban,Other shellfish,11.16,5.53,30.51,16.20,8.71,9.79,11.55,35.80,40.01,26.91
Oban,Total shellfish,2490.68,2553.79,2177.15,2154.20,2372.54,7238.73,8104.39,8094.71,9521.16,9310.44
Oban,Total landings,2512.79,2573.76,2216.84,2189.66,2429.75,7491.07,8504.93,8228.13,9881.55,9844.51
Orkney,Total demersal,23.93,6.19,4.22,24.87,10.95,38.33,19.48,5.92,228.09,715.17
Orkney,Mackerel,36.67,35.74,49.60,35.64,23.38,17.26,21.74,62.05,41.20,37.45
Orkney,Other pelagic,0.00,0.00,0.48,0.06,0.00,0.00,0.00,0.00,0.02,0.00
Orkney,Total pelagic,36.67,35.74,50.08,35.70,23.38,17.26,21.74,62.05,41.22,37.45
Orkney,Edible crabs,2878.90,3403.62,3037.17,2269.12,1909.78,3610.60,4768.90,5133.01,4997.57,4009.36
Orkney,Green crabs,107.73,80.29,51.46,48.63,57.08,69.97,57.79,43.97,41.10,54.84
Orkney,Lobsters,95.41,102.13,95.86,79.27,92.82,999.04,1288.18,1342.52,1176.71,1394.57
Orkney,Queen scallops,7.20,41.46,10.35,15.14,29.79,5.79,48.15,12.26,15.71,44.78
Orkney,Scallops,367.05,379.43,297.42,358.84,346.77,1035.74,1196.73,1226.00,1212.20,1214.97
Orkney,Velvet crabs,440.28,392.62,317.53,243.80,310.53,1231.11,1210.31,1046.73,907.35,904.37
Orkney,Whelks,400.79,451.74,349.78,295.83,274.25,300.73,409.76,354.40,344.80,329.79
Orkney,Other shellfish,41.81,42.93,10.31,7.48,3.07,118.96,116.45,47.59,51.61,33.67
Orkney,Total shellfish,4339.17,4894.21,4169.88,3318.10,3024.09,7371.94,9096.28,9206.47,8747.03,7986.35
Orkney,Total landings,4399.77,4936.15,4224.18,3378.68,3058.42,7427.53,9137.49,9274.45,9016.34,8738.97
Peterhead,Catfish,278.35,347.79,390.92,356.75,341.49,379.71,597.92,701.20,661.06,666.70
Peterhead,Cod,9273.52,10451.77,10515.07,11223.18,9506.88,17613.72,21811.89,24525.61,25925.43,22016.40
Peterhead,Dabs,0.37,0.26,0.60,2.62,27.14,0.56,0.22,0.29,1.91,14.28
Peterhead,Dogfish,18.65,18.61,23.56,29.35,49.10,7.54,3.87,8.15,7.70,13.82
Peterhead,Greenland halibut,184.70,133.52,54.66,95.36,89.43,591.38,389.26,146.72,281.08,259.42
